time,addr,core,level,latency,prefetched,pid,command,mshr
1470687837,140730223408380,0,L1,6,false,0,GetSResp,false
1470687843,140730223408380,0,L1,6,false,0,GetSResp,false
1470687849,140730223408380,0,L1,6,false,0,GetSResp,false
1470687855,140730223408380,0,L1,6,false,0,GetSResp,false
1470687861,140730223408380,0,L1,6,false,0,GetSResp,false
1470687868,140730223408380,0,L1,6,false,0,GetSResp,false
1470687874,140730223408380,0,L1,6,false,0,GetSResp,false
1470687880,140730223408380,0,L1,6,false,0,GetSResp,false
1470687887,140730223408380,0,L1,6,false,0,GetSResp,false
1470687892,140730223408380,0,L1,6,false,0,GetSResp,false
1470687900,140730223408380,0,L1,6,false,0,GetSResp,false
1470687907,140730223408380,0,L1,6,false,0,GetSResp,false
1470687921,140730223408380,0,L1,6,false,0,GetSResp,false
1470687965,140730223408380,0,L1,6,false,0,GetSResp,false
1470687971,140730223408380,0,L1,6,false,0,GetSResp,false
1470687977,140730223408380,0,L1,6,false,0,GetSResp,false
1470687983,140730223408380,0,L1,6,false,0,GetSResp,false
1470687989,140730223408380,0,L1,6,false,0,GetSResp,false
1470687995,140730223408380,0,L1,6,false,0,GetSResp,false
1470688002,140730223408380,0,L1,6,false,0,GetSResp,false
1470688008,140730223408380,0,L1,6,false,0,GetSResp,false
1470688014,140730223408380,0,L1,6,false,0,GetSResp,false
1470688020,140730223408380,0,L1,6,false,0,GetSResp,false
1470688026,140730223408380,0,L1,6,false,0,GetSResp,false
1470688032,140730223408380,0,L1,6,false,0,GetSResp,false
1470688039,140730223408380,0,L1,6,false,0,GetSResp,false
1470688045,140730223408380,0,L1,6,false,0,GetSResp,false
1470688052,140730223408380,0,L1,6,false,0,GetSResp,false
1470688067,140730223408380,0,L1,6,false,0,GetSResp,false
1470688111,140730223408380,0,L1,6,false,0,GetSResp,false
1470688117,140730223408380,0,L1,6,false,0,GetSResp,false
1470688124,140730223408380,0,L1,6,false,0,GetSResp,false
1470688129,140730223408380,0,L1,6,false,0,GetSResp,false
1470688136,140730223408380,0,L1,6,false,0,GetSResp,false
1470688142,140730223408380,0,L1,6,false,0,GetSResp,false
1470688148,140730223408380,0,L1,6,false,0,GetSResp,false
1470688154,140730223408380,0,L1,6,false,0,GetSResp,false
1470688161,140730223408380,0,L1,6,false,0,GetSResp,false
1470688166,140730223408380,0,L1,6,false,0,GetSResp,false
1470688173,140730223408380,0,L1,6,false,0,GetSResp,false
1470688179,140730223408380,0,L1,6,false,0,GetSResp,false
1470688185,140730223408380,0,L1,6,false,0,GetSResp,false
1470688192,140730223408380,0,L1,6,false,0,GetSResp,false
1470688198,140730223408380,0,L1,6,false,0,GetSResp,false
1470688204,140730223408380,0,L1,6,false,0,GetSResp,false
1470688211,140730223408380,0,L1,6,false,0,GetSResp,false
1470688217,140730223408380,0,L1,6,false,0,GetSResp,false
1470688223,140730223408380,0,L1,6,false,0,GetSResp,false
1470688229,140730223408380,0,L1,6,false,0,GetSResp,false
1470688235,140730223408380,0,L1,6,false,0,GetSResp,false
1470688241,140730223408380,0,L1,6,false,0,GetSResp,false
1470688247,140730223408380,0,L1,6,false,0,GetSResp,false
1470688253,140730223408380,0,L1,6,false,0,GetSResp,false
1470688259,140730223408380,0,L1,6,false,0,GetSResp,false
1470688266,140730223408380,0,L1,6,false,0,GetSResp,false
1470688272,140730223408380,0,L1,6,false,0,GetSResp,false
1470688278,140730223408380,0,L1,6,false,0,GetSResp,false
1470688285,140730223408380,0,L1,6,false,0,GetSResp,false
1470688291,140730223408380,0,L1,6,false,0,GetSResp,false
1470688296,140730223408380,0,L1,6,false,0,GetSResp,false
